ecb,9943066,9801,228,387
ecc,9839133,7908,150,358
ecd,9644042,7303,174,281
ece,9779136,10716,81,149
ecf,9800554,8490,44,81
ecg,9965152,8263,155,246
eda,9886277,8699,320,741
edb,9976736,8692,75,203
edc,9745558,8240,92,171
edd,9970864,11906,726,1836
ede,9893924,8459,260,547
edf,9988824,9609,97,295
edg,9792972,9237,208,385
eea,9943687,7439,44,161
eeb,9502231,10391,157,247
eec,9964731,9160,9,27
eed,9903384,7817,14,37
eee,9827379,7364,106,253
eef,9794725,9511,45,94
eeg,9999317,9124,12,34
efa,9438228,8625,138,208
efb,9902321,7894,113,199
efc,9960004,8562,113,306
efd,9943283,9408,36,55
efe,9540720,9460,45,75
eff,9653002,9650,82,143
efg,9627969,7916,122,230
ega,9738766,7984,62,209
egb,9514613,9372,211,281
egc,9999572,9326,63,237
egd,9942859,7314,80,147
ege,9475047,8586,90,147
egf,9828739,7623,29,128
egg,9791258,7280,82,256
faa,9951771,9006,104,161
fab,9982215,8311,294,465
fac,9982549,9312,75,324
fad,9932271,8923,26,89
fae,9870407,9732,150,281
faf,9873018,9938,30,63
fag,9933797,8468,183,271
fba,9833006,8470,91,167
fbb,9972502,9385,131,191
fbc,9810381,7761,169,268
fbd,9981242,10570,221,472
fbe,9888023,10711,204,291
fbf,9931026,8717,73,122
fbg,9780838,10909,46,78
fca,9417441,8409,61,153
fcb,9856095,8300,197,299
fcc,9979241,11129,28,135
fcd,9829570,8959,363,626
fce,9753744,10475,15,69
fcf,8973278,8748,24,46
fcg,9959389,8354,105,216
fda,9729506,8348,184,279
fdb,9547315,8707,59,150
fdc,9990513,10657,182,370
fdd,9181591,9389,109,264
fde,9833792,9074,95,159
fdf,9909953,8939,72,161
fdg,9470302,11490,167,350
fea,9928670,10188,58,124
feb,9870205,9385,53,82
fec,9774618,9470,76,186
fed,9793643,8380,74,106
fee,9786641,7162,19,46
fef,9924714,10921,138,281
feg,9734557,9547,40,101
ffa,9996322,9125,136,238
ffb,9538197,9332,31,64
ffc,9690480,9126,109,198
ffd,9346606,9608,134,223
ffe,9994955,8443,115,162
fff,9953227,7085,243,346
ffg,9812283,7507,133,247
fga,9917177,8879,42,103
fgb,9969006,7180,5,15
fgc,9307351,9149,213,392
fgd,9960606,9231,147,268
fge,9649918,10154,11,30
fgf,9462434,9255,41,113
fgg,9784244,8858,5,14
gaa,9813897,8840,145,295
gab,9925840,9338,10,28
gac,9855441,9338,100,307
gad,9796483,10191,126,261
gae,9898273,10391,6,23
gaf,9973016,9339,183,299
gag,9495826,9220,121,270
gba,9941183,8250,34,74
gbb,9834625,7249,19,30
gbc,9603776,8460,49,77
gbd,9463726,10448,13,36
gbe,9860587,8067,241,371
gbf,9546506,8067,43,72
gbg,9842902,10066,38,77
gca,9987836,9108,226,382
gcb,9764703,9213,27,110
gcc,9512461,9018,5,16
gcd,9968075,8608,27,67
gce,9889471,7917,5,11
gcf,9787003,11151,105,297
gcg,9814155,10676,74,166
gda,9829679,7110,151,333
gdb,9461187,8273,153,276
gdc,9781181,8684,31,103
gdd,9748034,9818,216,335
gde,9959698,7957,157,436
gdf,9804276,8698,107,201
gdg,9811294,9240,85,166
gea,9980684,10007,58,149
geb,9972713,9531,252,396
gec,9755116,10372,150,241
ged,9679379,8154,5,8
gee,9925380,9609,115,243
gef,9992253,8164,118,246
geg,9928683,9978,116,202
gfa,9732713,7995,238,332
gfb,9636678,8736,145,238
gfc,9913310,9121,122,304
gfd,9688422,8485,51,134
gfe,9718687,7424,34,75
gff,9982433,9365,134,229
gfg,9554484,8110,89,148
gga,9860496,9002,27,106
ggb,9879449,7913,55,135
ggc,9987258,10392,209,373
ggd,9843394,8728,141,233
gge,9966264,8085,357,607
ggf,9981786,9134,100,215
ggg,9873414,9820,167,262
